Deck on Play,Games Won Play,Games Won Draw,Deck on Draw,,Decklists,
Animals,2,0,Earthbend,,Animals,https://archidekt.com/decks/18711444/zookeepercreaturetype
Azula,0,2,Earthbend,,Earthbend,https://archidekt.com/decks/17496582/earthbend
Temur Lessons,2,0,Waterbend,,Temur Lessons,https://archidekt.com/decks/17496520/temur_lesson_ramp
Ozai Firebend,1,2,Waterbend,,4c Allies,https://archidekt.com/decks/17569840/4c_allies
4c Allies,2,0,Waterbend,,Temur Battlecrier,https://archidekt.com/decks/18636834
Zuko Exile,0,2,Temur Battlecrier,,Zuko Exile,https://archidekt.com/decks/18636119/zukoexile
Undergrowth,0,2,Zuko Exile,,Ozai Firebend,https://archidekt.com/decks/17496292/rakdos_firebending_midrange
Undergrowth,0,2,Temur Battlecrier,,Waterbend,https://archidekt.com/decks/17575298/uw_waterbend_control
Zuko Exile,2,0,Undergrowth,,Azula,https://archidekt.com/decks/17496309/azula
Bunnies,2,1,Graveyard Discount,,Undergrowth,https://archidekt.com/decks/18092118/sultaundergrowth
Undergrowth,2,1,Firebending Aggro,,Firebending Aggro,https://archidekt.com/decks/17736259/mono_r_firebending_aggro
Graveyard Discount,2,0,Golgari Earthbend,,Graveyard Discount,https://archidekt.com/decks/18657304/graveyarddiscountsultai
Sultai Reanimator,2,1,Golgari Earthbend,,Golgari Earthbend,https://archidekt.com/decks/18659933/golgari
Golgari Earthbend,2,1,Zuko Exile,,Warp Blink,https://archidekt.com/decks/18684408/warpblinksecondspell
Graveyard Discount,2,0,WarpBlink,,Izzet Lessons,https://archidekt.com/decks/18709766/izzet_lessons_avatar
Izzet Lessons,2,1,Graveyard Discount,,Draw Two,https://archidekt.com/decks/17586782/bu_draw_two
Draw Two,2,1,Graveyard Discount,,Bunnies,https://archidekt.com/decks/18598606/bunnies
Draw Two,1,1,WarpBlink,,Sultai Reanimator,https://archidekt.com/decks/18641319/sultaireanimator
Graveyard Discount,2,1,Ozai Firebend,,,